file,category,upstream_repository,upstream_url,upstream_path,upstream_revision,differing_lines,notice
cpu_cva6/Flist.cva6_gate,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
cpu_cva6/acc_dispatcher.sv,include-path,cva6,https://github.com/openhwgroup/cva6,core/acc_dispatcher.sv,commit 7cd183b710d1 (2023-10-18) .. before 37427a75a91e (2024-01-17),,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
cpu_cva6/alu.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/alu.sv,commit e5d86993dfc1 (2023-12-07) .. before 3afe870d78ab (2024-01-15),,
cpu_cva6/amo_buffer.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/amo_buffer.sv,commit 7cd183b710d1 (2023-10-18) .. before aed4ed7c2350 (2024-03-13),,
cpu_cva6/ariane_regfile.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/ariane_regfile.sv,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/ariane_regfile_ff.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/ariane_regfile_ff.sv,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/ariane_regfile_fpga.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/ariane_regfile_fpga.sv,20240827.feature.interconnect..v5.1.0,,
cpu_cva6/axi_shim.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/axi_shim.sv,commit 738d53af1c34 (2023-12-13) .. before 4817575de929 (2024-03-18),,
cpu_cva6/branch_unit.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/branch_unit.sv,commit 2b3392690044 (2023-12-19) .. before fa101fae7a19 (2024-01-25),,
cpu_cva6/cache_subsystem/amo_alu.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/amo_alu.sv,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/cache_subsystem/axi_adapter.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/axi_adapter.sv,commit c51819dcbdf3 (2023-12-04) .. before bd4b57cc64b0 (2024-03-18),,
cpu_cva6/cache_subsystem/cache_ctrl.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/cache_ctrl.sv,commit 8ef0d66d655a (2023-12-06) .. before 32a3cd56ee7f (2024-03-08),,
cpu_cva6/cache_subsystem/cva6_icache.sv,large,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/cva6_icache.sv,v5.0.0,214,adapted for the PKU_2602 SoC integration (214 differing lines against the upstream version)
cpu_cva6/cache_subsystem/cva6_icache_axi_wrapper.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/cva6_icache_axi_wrapper.sv,commit 7cd183b710d1 (2023-10-18) .. before 32a3cd56ee7f (2024-03-08),,
cpu_cva6/cache_subsystem/miss_handler.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/miss_handler.sv,commit c0a30e1c852b (2023-12-06) .. before 49cdc9045c08 (2024-01-15),,
cpu_cva6/cache_subsystem/std_cache_subsystem.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/std_cache_subsystem.sv,commit 7cd183b710d1 (2023-10-18) .. before 32a3cd56ee7f (2024-03-08),,
cpu_cva6/cache_subsystem/std_nbdcache.sv,large,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/std_nbdcache.sv,v5.0.0,123,adapted for the PKU_2602 SoC integration (123 differing lines against the upstream version)
cpu_cva6/cache_subsystem/tag_cmp.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/tag_cmp.sv,commit 7cd183b710d1 (2023-10-18) .. before 32a3cd56ee7f (2024-03-08),,
cpu_cva6/cache_subsystem/wt_axi_adapter.sv,large,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/wt_axi_adapter.sv,v5.0.0,94,adapted for the PKU_2602 SoC integration (94 differing lines against the upstream version)
cpu_cva6/cache_subsystem/wt_cache_subsystem.sv,large,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/wt_cache_subsystem.sv,v5.0.0,97,adapted for the PKU_2602 SoC integration (97 differing lines against the upstream version)
cpu_cva6/cache_subsystem/wt_dcache.sv,large,cva6,https://github.com/openhwgroup/cva6,core/cache_subsystem/wt_dcache.sv,v5.0.0,157,adapted for the PKU_2602 SoC integration (157 differing lines against the upstream version)
