vdd_board_V,f_light_load_MHz,f_full_load_MHz,f_full_load_die_min_MHz,f_full_load_die_max_MHz,v_int_V,i_die_mA,i_die_min_mA,i_die_max_mA,i_leak_die_mA,p_die_mW,p_4die_mW
0.55,441.3,390,362.9,415.2,0.5303,357.8,330.7,390.5,12.42,196.8,787.1
0.56,466.1,412.7,383.9,439.3,0.5388,384.8,355.7,420,12.57,215.5,862
0.6,556.8,496.5,465.3,525.3,0.5728,494.1,457.8,534.6,13.22,296.4,1185.8
0.64,636.5,570.9,537.9,601.1,0.6067,605.3,563.3,650.8,13.92,387.4,1549.6
0.68,706.8,637.4,602.9,668.2,0.6405,718.4,671.1,770,14.69,488.5,1954.1
0.72,769.5,697.1,661.3,727.8,0.6742,833.4,781.1,891.3,15.53,600,2400.2
0.76,825.6,751,714,780.8,0.7077,950.2,892.3,1013.8,16.45,722.2,2888.7
0.8,876.2,800,762.6,829.9,0.7412,1068.9,1004,1137.7,17.45,855.1,3420.5
0.84,922.1,844.7,807,874.3,0.7746,1189.4,1124.7,1263.4,18.54,999.1,3996.3
0.88,963.8,885.6,848.8,915.2,0.8079,1311.7,1240.7,1391.1,19.73,1154.3,4617.1
0.92,1002,923.2,887.7,952.3,0.841,1435.8,1358.9,1520.2,21.02,1320.9,5283.7
0.96,1037,957.9,922.6,986.9,0.8741,1561.7,1479.6,1654.2,22.44,1499.2,5996.8
1,1069.2,990,955,1018.4,0.9071,1689.3,1600.3,1787.8,23.97,1689.3,6757.3
